tagname,timestamp,Hz,Phasa-A (kV),Phasa-B (kV),Phasa-C (kV),VindhyachalVol_A,VindhyachalVol_B,VindhyachalVol_C,,Vindhyachal,Kanpur,Dadri,Moga
VINDHYACHAL.FREQ,23:48:00.000,49.66636,232.4138,235.2008,234.1796,232413.8,235200.8,234179.6,,0.00497,0.00923,0.0179157,0.0090241
VINDHYACHAL.FREQ,23:48:00.040,49.66646,232.4041,235.1991,234.1578,232404.1,235199.1,234157.8,,0.00474,0.01217,0.0208765,0.0095412
VINDHYACHAL.FREQ,23:48:00.080,49.66646,232.3773,235.223,234.0977,232377.3,235223,234097.7,,0.00000,0.00000,0.0078559,0.0038654
VINDHYACHAL.FREQ,23:48:00.120,49.66685,232.3693,235.2031,234.0843,232369.3,235203.1,234084.3,,0.01182,0.01983,0.0337601,0.0229552
VINDHYACHAL.FREQ,23:48:00.160,49.667,232.3562,235.2069,234.0706,232356.2,235206.9,234070.6,,-0.00020,0.00000,0,0
VINDHYACHAL.FREQ,23:48:00.200,49.66715,232.435,235.2882,234.1614,232435,235288.2,234161.4,,0.01038,-0.00453,-0.0095725,0.0042111
VINDHYACHAL.FREQ,23:48:00.240,49.66755,232.4482,235.3008,234.1703,232448.2,235300.8,234170.3,,0.00511,-0.00522,-0.0070333,0.0102207
VINDHYACHAL.FREQ,23:48:00.280,49.66741,232.4449,235.2991,234.1569,232444.9,235299.1,234156.9,,-0.00080,-0.01638,-0.0298441,-0.0051737
VINDHYACHAL.FREQ,23:48:00.320,49.66737,232.4628,235.3197,234.1812,232462.8,235319.7,234181.2,,-0.00414,-0.00521,-0.0152901,-0.0059053
VINDHYACHAL.FREQ,23:48:00.360,49.66724,232.4577,235.3126,234.1816,232457.7,235312.6,234181.6,,0.00000,0.00000,0.0112087,0.0104785
VINDHYACHAL.FREQ,23:48:00.400,49.66706,232.4505,235.3048,234.1794,232450.5,235304.8,234179.4,,-0.00854,-0.00260,0,0.003916
VINDHYACHAL.FREQ,23:48:00.440,49.6667,232.453,235.3102,234.1781,232453,235310.2,234178.1,,-0.00799,-0.00685,-0.0045359,-0.0053376
VINDHYACHAL.FREQ,23:48:00.480,49.66626,232.4383,235.2981,234.1657,232438.3,235298.1,234165.7,,-0.01373,-0.00709,0.0090808,0.0034556
VINDHYACHAL.FREQ,23:48:00.520,49.66585,232.4118,235.2634,234.1284,232411.8,235263.4,234128.4,,-0.00878,-0.00235,0.0031978,0.001882
VINDHYACHAL.FREQ,23:48:00.560,49.66536,232.3956,235.2338,234.111,232395.6,235233.8,234111,,-0.01304,-0.00350,-0.0076711,-0.0060126
VINDHYACHAL.FREQ,23:48:00.600,49.66486,232.3827,235.2395,234.1033,232382.7,235239.5,234103.3,,-0.00931,-0.00316,0.0078678,-0.0003174
VINDHYACHAL.FREQ,23:48:00.640,49.66482,232.3996,235.2475,234.1136,232399.6,235247.5,234113.6,,0.00000,-0.00161,-0.0050023,-0.0017434
VINDHYACHAL.FREQ,23:48:00.680,49.66489,232.4193,235.2686,234.1366,232419.3,235268.6,234136.6,,-0.00023,-0.00241,-0.0118136,-0.0079483
VINDHYACHAL.FREQ,23:48:00.720,49.6647,232.4685,235.3145,234.1833,232468.5,235314.5,234183.3,,-0.00293,-0.00038,-0.0057802,-0.0080138
VINDHYACHAL.FREQ,23:48:00.760,49.66485,232.5127,235.3603,234.227,232512.7,235360.3,234227,,0.00585,0.00186,-0.0064582,-0.0060067
VINDHYACHAL.FREQ,23:48:00.800,49.66488,232.5457,235.3985,234.2573,232545.7,235398.5,234257.3,,0.00000,0.00233,0,-0.0032052
VINDHYACHAL.FREQ,23:48:00.840,49.66461,232.5697,235.4251,234.2863,232569.7,235425.1,234286.3,,-0.00734,0.00113,0.0084162,-0.0069723
VINDHYACHAL.FREQ,23:48:00.880,49.66463,232.5621,235.4226,234.2813,232562.1,235422.6,234281.3,,0.00264,0.00356,0.0056863,-0.0060245
VINDHYACHAL.FREQ,23:48:00.920,49.66451,232.5479,235.402,234.2645,232547.9,235402,234264.5,,-0.00596,0.00037,0.0065699,-0.0068605
VINDHYACHAL.FREQ,23:48:00.960,49.66444,232.5536,235.4036,234.28,232553.6,235403.6,234280,,0.00000,0.00044,0.0008106,-0.0061303
VINDHYACHAL.FREQ,23:48:01.000,49.66464,232.5561,235.3927,234.265,232556.1,235392.7,234265,,0.00826,0.00220,-0.0030994,-0.0061989
VINDHYACHAL.FREQ,23:48:01.040,49.66508,232.5583,235.4158,234.2839,232558.3,235415.8,234283.9,,0.01072,0.00305,-0.0067815,-0.0095055
VINDHYACHAL.FREQ,23:48:01.080,49.66541,232.566,235.4243,234.2867,232566,235424.3,234286.7,,0.00841,0.00167,-0.0027642,-0.0032842
VINDHYACHAL.FREQ,23:48:01.120,49.66587,232.5399,235.3982,234.2617,232539.9,235398.2,234261.7,,0.01019,0.00000,-0.0132129,-0.0045389
VINDHYACHAL.FREQ,23:48:01.160,49.66629,232.5564,235.4295,234.2941,232556.4,235429.5,234294.1,,0.01158,-0.00136,-0.0145167,-0.0047937
VINDHYACHAL.FREQ,23:48:01.200,49.66662,232.557,235.427,234.2914,232557,235427,234291.4,,0.00690,0.00087,0.0058204,-0.002341
VINDHYACHAL.FREQ,23:48:01.240,49.66682,232.5476,235.4029,234.2604,232547.6,235402.9,234260.4,,0.00245,-0.00224,-0.0004843,0.0009447
VINDHYACHAL.FREQ,23:48:01.280,49.66682,232.5288,235.3761,234.2438,232528.8,235376.1,234243.8,,0.00000,-0.00119,-0.0000015,0
VINDHYACHAL.FREQ,23:48:01.320,49.66661,232.4847,235.3196,234.1903,232484.7,235319.6,234190.3,,-0.00625,0.00000,0.0151351,0.0059351
VINDHYACHAL.FREQ,23:48:01.360,49.66655,232.4292,235.2772,234.1414,232429.2,235277.2,234141.4,,-0.00107,-0.00171,0,0.006023
VINDHYACHAL.FREQ,23:48:01.400,49.66632,232.4168,235.2669,234.1246,232416.8,235266.9,234124.6,,-0.00654,-0.00200,0.0090063,0.0031993
VINDHYACHAL.FREQ,23:48:01.440,49.66612,232.3865,235.2261,234.099,232386.5,235226.1,234099,,-0.00428,-0.00062,-0.0011131,0.004378
VINDHYACHAL.FREQ,23:48:01.480,49.6662,232.3715,235.2168,234.0892,232371.5,235216.8,234089.2,,0.00301,-0.00154,-0.0109315,0.0028968
VINDHYACHAL.FREQ,23:48:01.520,49.6661,232.3898,235.2314,234.1028,232389.8,235231.4,234102.8,,-0.00517,-0.00092,-0.0064269,0.0023633
VINDHYACHAL.FREQ,23:48:01.560,49.66587,232.4066,235.2587,234.1321,232406.6,235258.7,234132.1,,-0.00599,0.00000,0.0071198,0.002031
VINDHYACHAL.FREQ,23:48:01.600,49.66581,232.4194,235.2637,234.1536,232419.4,235263.7,234153.6,,0.00088,-0.00016,-0.0077173,0.0085652
VINDHYACHAL.FREQ,23:48:01.640,49.66571,232.4545,235.3148,234.1687,232454.5,235314.8,234168.7,,-0.00457,-0.00178,0.0028938,0.0090599
VINDHYACHAL.FREQ,23:48:01.680,49.66535,232.4537,235.3158,234.177,232453.7,235315.8,234177,,-0.01151,0.00060,0.0122026,0.0080884
VINDHYACHAL.FREQ,23:48:01.720,49.66501,232.456,235.3117,234.1757,232456,235311.7,234175.7,,-0.00827,0.00002,0.006853,0.0028819
